62.29,62.60,62.29,61.15
61.75,59.96,58.69,52.10
51.50,53.10,54.60,53.75
47.00,52.04,58.10,61.01
63.50,63.21,62.01,56.54
60.25,58.01,56.15,56.77
54.00,54.03,50.10,49.43
56.25,59.52,51.10,47.50
41.80,42.10,42.12,44.79
40.69,42.21,47.86,55.39
55.75,56.70,59.87,63.03
62.95,62.19,60.10,60.00
58.81,56.60,53.65,52.01
52.10,56.10,59.00,59.80
69.00,71.15,69.70,67.01
55.07,50.00,49.95,47.50
64.00,64.10,62.85,64.10
65.01,64.82,62.43,58.58
63.96,68.00,69.01,70.30
51.25,53.60,58.02,63.03
67.69,67.32,67.60,70.48
26.31,26.31,26.21,25.79
56.80,52.20,49.10,51.10
70.70,70.09,68.78,66.69
46.80,48.71,50.00,52.05
33.99,32.01,31.10,30.45
55.24,54.99,51.70,60.00
44.15,44.30,44.52,47.70
56.20,47.00,44.08,40.01
59.10,55.42,51.30,48.77
62.00,64.13,64.19,66.00
66.20,62.42,60.10,57.88
65.10,69.18,73.54,69.99
39.64,40.00,40.00,43.19
43.00,40.02,35.13,32.40
65.51,65.51,65.32,63.71
41.99,42.03,41.98,41.68
60.01,60.01,56.70,48.81
39.00,40.00,40.50,42.93
42.88,42.00,39.20,39.54
69.48,69.69,69.48,67.03
59.59,57.50,56.00,54.75
55.73,54.10,53.25,55.42
54.88,54.25,53.25,55.10
57.55,53.07,50.50,48.41
70.20,70.49,70.81,70.81
41.40,44.00,48.69,56.70
69.69,70.00,68.69,67.30
40.81,43.10,45.10,46.35
36.94,37.52,38.99,43.99
51.33,51.08,49.65,49.69
54.11,55.11,54.69,54.50
58.67,58.60,59.00,56.03
64.31,65.28,63.31,60.60
55.03,55.00,55.00,59.50
64.10,62.69,60.49,57.20
62.69,60.49,57.20,53.75
65.00,68.00,70.98,70.98
35.00,35.50,36.00,36.49
48.00,52.69,58.99,55.11
45.52,40.63,36.98,37.00
51.75,53.11,50.30,49.02
42.51,38.24,34.90,33.04
61.00,57.10,54.34,54.04
34.35,30.00,26.83,24.10
52.00,52.79,55.00,54.49
62.47,60.98,54.04,51.11
65.10,63.89,63.89,65.10
49.95,51.25,50.10,51.00
26.19,14.99,10.28,13.32
35.00,35.71,38.70,39.11
59.10,61.10,60.83,59.50
43.49,40.03,40.01,40.01
52.88,48.62,47.69,45.85
41.30,39.41,39.41,38.40
43.89,49.64,52.50,64.89
47.05,46.03,44.92,41.10
59.50,56.80,54.02,52.10
67.48,71.00,71.00,66.69
54.69,66.12,61.75,54.70
37.17,35.01,38.00,38.12
33.52,36.60,42.50,48.15
67.10,68.09,67.90,65.69
25.02,25.13,36.13,44.17
33.68,32.40,40.03,40.23
42.02,43.98,43.98,47.60
57.20,62.47,60.00,52.35
67.60,62.47,61.00,57.10
41.45,37.63,34.52,37.40
64.18,66.12,70.26,70.57
50.80,47.10,45.59,44.96
62.21,61.87,56.25,59.52
67.32,69.69,60.53,53.15
49.69,45.35,45.00,41.50
43.10,41.50,41.10,43.10
34.00,34.50,33.10,32.25
65.10,66.47,68.10,69.69
41.10,40.00,42.90,43.40
53.11,52.42,48.70,47.63
58.00,59.95,60.69,60.69
54.98,52.00,51.00,46.50
43.56,42.32,41.00,40.16
33.55,33.92,41.01,50.40
62.69,64.08,65.00,66.50
52.79,55.00,54.49,54.10
63.50,66.78,61.98,61.98
59.85,59.00,59.26,59.59
44.95,46.25,55.47,59.82
40.90,39.00,41.98,39.00
65.98,64.00,63.89,62.43
65.28,63.31,60.60,57.10
27.53,27.45,26.76,27.22
43.61,56.10,57.69,60.01
53.72,49.56,48.57,48.36
50.44,48.37,48.59,54.10
50.02,50.00,46.50,46.50
26.86,26.32,25.50,25.50
40.00,43.32,50.00,49.53
49.07,48.81,50.00,44.01
47.63,46.30,44.08,43.50
56.13,52.50,47.05,49.72
64.18,55.00,51.12,48.11
43.38,50.48,46.76,43.89
48.33,46.50,44.88,44.88
52.69,62.00,71.00,62.00
63.34,63.69,62.29,62.60
51.10,40.84,38.00,35.09
49.26,46.50,39.94,36.07
27.10,25.00,20.01,17.10
59.26,59.59,59.43,59.59
50.63,51.50,61.00,66.96
60.01,64.11,62.69,58.00
46.85,49.04,60.28,63.60
61.43,59.30,49.64,48.29
55.69,60.01,63.03,64.69
51.00,51.57,56.90,62.00
39.44,39.69,40.12,40.00
35.00,29.92,28.29,30.00
48.96,48.96,48.96,49.00
10.00,9.90,17.20,25.10
63.48,60.20,55.96,48.53
40.85,40.00,41.71,41.80
51.10,54.69,66.12,61.75
47.02,48.35,52.42,49.98
43.46,42.26,42.96,39.64
55.70,50.30,49.00,43.76
54.00,50.00,48.36,49.06
62.60,55.00,49.56,46.89
66.12,61.75,54.70,51.80
54.10,56.07,50.83,40.82
44.11,47.00,47.52,48.42
40.54,36.70,36.70,32.01
54.50,56.56,56.60,57.12
55.29,54.85,56.80,57.21
35.93,36.10,27.72,17.67
41.25,39.10,37.49,39.94
59.10,58.80,57.75,57.00
37.20,44.03,55.69,60.01
55.98,56.61,57.69,56.19
31.91,33.60,42.00,52.55
55.50,56.23,57.49,56.60
43.72,42.49,41.42,41.68
53.20,52.69,52.10,54.00
54.05,52.25,51.25,50.00
37.13,38.57,38.19,38.19
60.25,51.59,48.50,48.20
46.61,46.37,46.61,48.00
48.50,47.40,45.27,45.42
41.07,40.00,39.95,40.69
40.40,36.73,32.30,30.29
44.73,54.53,59.27,63.20
65.69,60.76,56.69,46.67
50.01,55.10,60.01,54.10
51.15,49.98,48.94,47.94
45.10,43.98,47.60,51.65
50.00,56.77,59.50,62.00
42.51,42.00,42.51,55.57
61.38,53.97,50.63,49.10
58.09,53.10,50.93,50.03
27.00,26.87,27.00,27.23
43.80,41.40,35.60,33.55
48.10,47.80,47.80,48.10
57.48,55.62,57.48,56.30
53.10,49.31,47.00,44.02
46.69,49.00,50.07,47.55
71.15,74.71,77.15,72.21
63.00,65.11,66.96,67.52
51.83,57.60,57.17,55.04
46.68,49.85,56.67,58.10
52.60,52.10,50.10,41.70
48.00,49.10,48.50,48.00
60.00,53.38,48.10,49.29
68.30,68.46,70.00,70.68
37.10,35.05,27.25,30.00
58.10,54.56,57.59,60.89
32.51,38.90,47.85,51.35
52.79,57.00,60.69,62.99
6.33,5.00,6.21,9.98
69.53,70.66,71.51,71.69
24.13,26.10,28.34,33.49
53.00,58.10,59.99,58.09
33.78,35.30,41.09,43.50
51.85,60.90,62.08,63.34
37.10,36.90,36.70,37.40
36.26,34.20,34.20,36.66
59.59,59.10,61.10,60.83
64.98,64.98,65.01,65.01
42.00,37.10,42.00,51.52
50.84,46.85,45.64,45.61
61.70,61.30,61.57,61.15
31.19,26.65,26.43,26.00
43.89,51.10,54.69,66.12
39.50,49.00,51.80,53.00
39.67,39.00,40.00,40.50
63.89,67.69,71.15,77.51
30.20,27.00,27.00,26.87
58.69,55.49,54.76,52.54
47.38,40.54,33.99,32.01
59.69,60.11,60.11,65.00
67.17,68.99,69.10,68.99
42.59,55.00,57.59,55.57
43.38,43.00,44.28,45.03
68.00,67.10,68.09,67.90
40.10,44.98,45.10,42.61
60.60,57.10,54.02,54.61
49.67,48.95,50.00,47.73
59.10,58.31,48.06,45.77
43.10,38.55,37.33,35.10
60.50,60.09,57.00,55.50
60.73,60.01,58.00,55.00
28.75,30.45,29.48,28.50
36.50,34.00,32.10,36.10
70.00,69.67,69.40,68.69
45.78,45.54,45.99,47.53
67.57,68.56,68.46,67.00
49.04,53.00,63.69,64.30
57.00,57.48,59.49,57.00
49.06,49.06,45.13,43.98
62.93,68.10,66.60,61.10
77.15,72.21,71.00,68.60
55.26,55.10,55.10,55.10
50.06,52.10,52.50,52.10
51.00,51.89,46.69,46.58
62.69,61.24,60.01,58.65
35.00,35.00,39.10,41.35
45.91,46.09,47.22,50.00
50.76,42.43,38.45,33.92
63.94,59.17,53.00,47.00
