Date,FX Vol,VIX,IG Spreads (US),Z FX Vol,Z VIX,Z IG Spreads,SPX
1/2/2001,12.5125,29.99,195,0.926826912,1.195139816,0.41352573,1283.27
1/3/2001,12.425,26.6,195,0.895079627,0.805664694,0.41352573,1347.56
1/4/2001,12.45,26.97,192,0.90415028,0.848173778,0.378626601,1333.34
1/5/2001,12.8,28.67,191,1.031139423,1.043485786,0.366993558,1298.35
1/8/2001,12.55,29.84,191,0.940432892,1.177906403,0.366993558,1295.86
1/9/2001,12.175,27.99,192,0.804373096,0.965360983,0.378626601,1300.8
1/10/2001,11.9,26.8,185,0.704595912,0.828642577,0.297195299,1313.27
1/11/2001,12.3,25.79,186,0.849726361,0.712604267,0.308828342,1326.82
1/12/2001,12.275,24.56,187,0.840655708,0.571290284,0.320461386,1318.32
1/16/2001,12.85,25.28,184,1.049280729,0.654010664,0.285562256,1326.65
1/17/2001,13.55,24.93,180,1.303259015,0.613799368,0.239030084,1329.47
1/18/2001,13.55,23.37,179,1.303259015,0.434571879,0.227397041,1347.97
1/19/2001,13.05,23.24,178,1.121845954,0.419636255,0.215763998,1342.54
1/22/2001,13.25,23.25,177,1.194411178,0.420785149,0.204130955,1342.9
1/23/2001,13.175,21.57,173,1.167199219,0.227770929,0.157598783,1360.4
1/24/2001,13.375,22.03,173,1.239764444,0.280620061,0.157598783,1364.3
1/25/2001,13,22.64,173,1.103704647,0.350702605,0.157598783,1357.51
1/26/2001,12.35,22.57,173,0.867867668,0.342660346,0.157598783,1354.95
1/29/2001,12.275,22.61,174,0.840655708,0.347255922,0.169231826,1364.17
1/30/2001,12.425,22.57,171,0.895079627,0.342660346,0.134332696,1373.73
1/31/2001,12.4875,22.02,172,0.917756259,0.279471167,0.14596574,1366.01
2/1/2001,12.55,21.66,172,0.940432892,0.238110977,0.14596574,1373.47
2/2/2001,12.25,21.95,175,0.831585055,0.271428907,0.180864869,1349.47
2/5/2001,12.15,22.19,179,0.795302443,0.299002367,0.227397041,1354.31
