Date,max_drawdown_percent,label
2001-03-26,0.06675858802033555,1
2001-03-27,0.06675858802033555,1
2001-03-28,0.04919290201925308,0
2001-03-29,0.04919290201925308,0
2001-03-30,0.04919290201925308,0
2001-04-02,0.03719444614135975,0
2001-04-03,0.019983672618634048,0
2001-04-04,0.019983672618634048,0
2001-04-05,0.019983672618634048,0
2001-04-06,0.02340272792534111,0
2001-04-09,0.035279572465502125,0
2001-04-10,0.035279572465502125,0
2001-04-11,0.035279572465502125,0
2001-04-12,0.035279572465502125,0
2001-04-16,0.035279572465502125,0
2001-04-17,0.035279572465502125,0
2001-04-18,0.035279572465502125,0
2001-04-19,0.035279572465502125,0
2001-04-20,0.026959404012936644,0
2001-04-23,0.014872616239161245,0
2001-04-24,0.014872616239161245,0
2001-04-25,0.014872616239161245,0
